Generation,Best Fitness,Mean Fitness,Standard Deviation
0,20.71663676444622,-4.4930230839790095,5.466049830052865
1,23.20924573551669,-4.770317442453873,4.356372206391247
2,25.719073911766976,-4.718575175151364,5.5728416032807555
3,36.6083131532781,-5.002765530039658,5.3987078551881735
4,24.905706728461695,-4.643861085529367,5.516694550532963
5,27.251508382420628,-4.649576032900987,4.393016878701701
6,24.95775857320581,-4.404398871351968,4.930584104056098
7,25.25411501025327,-4.5233693587579475,5.1202212684035855
8,18.848576501908127,-4.698827201608517,4.485387053307366
9,15.557652745845463,-5.016090046851201,4.162663537820102
10,14.50723238118995,-5.311493371010291,3.885616772097788
11,8.447557300753495,-5.321500835051907,3.2734280034158574
12,15.635623962143578,-5.322573347119483,3.9509716698758544
13,22.458753551375132,-4.853282053301782,5.583478195984661
14,12.553190928288544,-5.181965206188239,4.170812828622869
15,26.097086757992823,-4.564473789657871,4.948895231874805
16,26.19228247483731,-4.679602609833364,5.2444505669982595
17,27.805082327082356,-4.9722848707450495,4.2455906548812
18,21.53653836915695,-4.9068167967982435,3.840685456874279
19,11.72642832850563,-5.376589164192206,3.582206556906044
20,27.839237556647458,-4.9187719057905275,4.684737618816445
21,19.922594543545546,-4.743235522216989,3.9285952653549026
22,24.78094696337023,-4.802116821302748,4.903668441641356
23,16.49758292756696,-4.905065835186047,4.209580427548851
24,10.616555627454954,-4.789941645258784,3.645798630065718
25,18.661510133763237,-5.0795715014278615,3.980955804663698
26,37.724368535765414,-4.953759678308723,5.381884866720327
27,11.007182560583338,-5.165241099868745,3.357009343526137
28,39.72555825302327,-4.141253335846972,5.8894531908555825
29,14.256448799552748,-4.433873147143656,4.40835400558769
30,21.50188872854183,-4.5756975505444455,4.808387144745834
31,15.690838950039772,-4.9541684805713295,3.717460378673555
32,23.903346021071393,-3.9167396320702403,5.276044490016289
33,34.10604193314591,-4.267528498596769,5.19914938904677
34,23.22933241449315,-4.464448282645065,4.512127343812511
35,23.861921515576135,-4.79735852309019,4.515096811578684
36,23.204554890453217,-4.060829493665907,6.116575818710831
37,12.913458126531726,-4.766967270102154,4.336273152032993
38,25.098879058634633,-4.839239873671563,4.635687916834419
39,11.460954730053523,-4.919526173598336,3.988987664796231
40,28.36339556162217,-4.204207433608508,5.983250926899746
41,21.15958107331516,-4.2380193200829455,5.215060830736827
42,22.855095145606356,-4.100659733354321,5.683929631897886
43,17.72394977306422,-4.656999399839022,4.819637193380187
44,8.90590667113711,-4.790581673131966,3.625136797308653
45,11.219863707840261,-4.681491775054483,3.606753914766456
46,13.669866854413513,-5.174087060515077,3.523625415504434
47,9.802453982637573,-4.7874562362524316,3.785041035454105
48,9.234511673406057,-4.942499585319041,3.845853993182272
49,16.473083624671276,-4.214713401610547,4.46654180584052
50,15.22816754221968,-4.632493975304617,3.9117593505927535
51,7.826430182289521,-4.69345732413957,3.530716659622607
52,14.700974274335238,-4.095597069495408,4.115037658254395
53,15.20984123273729,-4.10911250600789,4.491470313720191
54,19.272677718900304,-3.4824595095949857,5.383156083977304
55,9.988307329354747,-4.3262099502408535,3.8605513897580437
56,17.523456139885457,-3.589560806884725,5.963440604145698
57,27.114884274100035,-3.1977080962942,6.457832896261595
58,17.300087484037185,-4.339384387088663,4.532841834083151
59,26.00856806657933,-2.9418259056027742,6.092800369890748
60,31.631175920882228,-2.9801574210227852,6.013271445589969
61,25.163660512355776,-2.9907978847598735,6.194324801738364
62,39.82570725449081,-2.1149479824049866,8.231934392634079
63,41.67599841477521,-1.4790514646832034,9.12318764835571
64,33.351092687934496,0.664675418752359,10.332330977024553
65,35.120080506117816,0.11751503751229167,10.436343198447766
66,34.430297705665005,0.8857207183108278,9.795504419241187
67,35.96791373475901,0.1661383550501209,9.737365079925956
68,32.26243316985456,-0.9879983451999604,8.613501474540143
69,38.63619213076051,0.8112065025403185,10.36073252743311
70,33.058581040943935,2.1537810790884557,10.778474919503575
71,34.46502878566818,3.479903567642362,11.576953039943183
72,36.43034127297568,0.9294511083356839,11.622387115249328
73,28.453479079595713,1.4295201028362128,10.294863657498347
74,38.52776051455785,0.6662417046949388,9.726392386400484
75,27.76022229735016,1.0169655396494262,8.8672193675305
76,36.89692221397836,3.232547049041738,11.417040339218135
77,26.995359801042504,2.148861184063664,9.888381365652108
78,41.87361811221908,3.46208035597333,10.581654003124827
79,38.65510087137177,3.4455791046149744,11.387746319019463
80,31.68511791534364,1.8777618288005682,10.714537008917722
81,43.37696002470799,3.117035306275933,11.077703242438291
82,36.9189823094797,5.379948380712889,12.253551113620373
83,46.178568654509455,2.741475982321399,11.748727124554636
84,35.08739863441481,5.475135414159485,11.40835038916989
85,45.34036655237259,2.6734596194057025,11.912832837438232
86,28.253382529903313,3.3831151270213193,9.985275438613236
87,39.428230878294485,6.703883667392746,12.978244651397189
88,43.311256344490495,5.139755231111705,12.035357071222538
89,43.38484135112559,4.739601561022938,11.830957591487472
90,32.76847620144768,6.1730075334933,11.62465548788056
91,34.90098865895574,5.469225636521252,11.241262837334842
92,47.73991006782343,6.760093613038035,12.196704731004743
93,41.85588498650606,8.125192676165938,13.15341055742068
94,44.71254404361345,8.855331897113814,14.069204301258893
95,36.591810723463425,7.892409322845297,12.332686950803813
96,44.22996986679702,5.797051635249176,12.118728798671649
97,40.63722578536867,5.655959105525498,12.567913699462665
98,47.62697529948409,6.0914859081907915,13.130175811877043
99,41.76031757540776,6.112905513780598,13.144499120114249
