best_fitness,mean_fitness,std_fitness,gain
87.13935834262664,7.421731587904553,25.1643437678108,29.80000000000026
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
90.20661051127252,5.4259802011492795,23.380572943732936,57.400000000000325
