Generation,Best Fitness,Mean Fitness,Standard Deviation
0,36.91395259712111,-2.1022738198547315,8.920225887211478
1,70.48411853169969,-1.4930334172840338,11.030050325973058
2,56.45275620989316,-1.8661093464441951,10.607093380481215
3,56.18957304193559,-1.6791457461734365,10.624714053527294
4,56.34445380542675,-1.4514563784815928,10.993224095950373
5,56.34445380542675,-1.620439967377709,10.550836201554752
6,70.48411853169969,-1.7660696636010447,10.96367514067803
7,46.57563074668107,-1.688721101859572,10.304228912374231
8,41.68098248956604,-1.645945266172723,10.358070801972818
9,40.45671977121353,-1.7234945138927389,10.748107541065082
10,56.29274625528892,-1.7355202946518604,10.611438485692402
11,56.490262993067894,-1.787274405010849,10.448356057167198
12,51.40708764196637,-1.8631178381292048,10.283712639360614
13,42.2255481775621,-1.5502443029438935,10.434239756138904
14,48.71248212932454,-2.0494599707875696,10.131266182920807
15,48.66599519817329,-1.9929169419101176,9.860974417155457
16,70.48411853169969,-1.1099888397076008,11.4318531830157
17,56.39643275221703,-1.574978540481582,11.076780482457266
18,32.736951323090125,-2.34854675394702,9.254358783784708
19,56.39643275221703,-1.5996156436320206,10.632594336765976
20,53.14981509308393,-1.8300680110800056,10.270536207774331
21,49.50201682454972,-1.616518816449376,10.39838411268618
22,48.97341904412767,-1.7181463460366986,10.934148378209567
23,56.18957304193559,-1.725937796275298,10.762311150765788
24,35.129247317059516,-2.213747896443177,9.270231391380896
25,56.199143130109746,-1.7930671024003517,10.217395145331093
26,48.97341904412767,-1.7526364118029376,10.303184040398829
27,56.28409724822615,-2.0623289191792913,9.393110131933987
28,56.36846129916219,-1.8526371748577195,10.341357436461376
29,48.912355152049244,-1.9941914853233509,10.345614989908803
