gen,nevals,avg,std,min,max
0,136,-3.482674330758119,6.227115460971089,-14.940028665398131,24.83230569968496
1,136,-1.8916889232849599,7.586239332649445,-14.45334143169573,34.06290987566898
2,136,-0.06100210622558928,9.359453886275453,-17.757103962391636,39.42094693176662
3,136,0.653877418811617,8.92076359922015,-13.53829719836271,31.106067050196568
4,136,4.145704069038012,11.430564995153615,-16.19858661672801,46.60541304471516
5,136,5.6073699272655855,10.587570030283663,-9.617087443244719,37.461315124791646
6,136,4.652538900127278,10.649125412145288,-9.254681685566192,35.96842646153248
7,136,5.640799070101095,11.36817507508225,-18.77782536697642,41.377874089378096
8,136,9.053689541442795,13.045486132263273,-12.820883615573255,59.809113934397615
9,136,10.568074261033606,11.984917889827305,-10.189374469395503,39.501699619186894
10,136,11.671399327165647,12.604559790694038,-14.879821994959105,62.827093840225054
11,136,13.130668377609691,11.509861007647382,-9.907116080679463,51.28850390386154
12,136,13.236400364631523,12.145274840251279,-7.945535757581444,51.42905894369781
13,136,15.44809960241519,13.53564260609649,-11.600097524154819,66.1297889504623
14,136,11.302622150615866,12.55313097649947,-10.236211313944445,46.00843960719287
15,136,13.758510464587415,12.087840455966864,-13.869002995737862,51.39812352404175
16,136,12.791933430807887,12.137992182061184,-18.48598663646322,37.27968616572262
17,136,16.48170045854155,11.797853375389996,-9.86884616133218,69.54843323708
18,136,16.945387658162446,11.439154700482609,-9.576031749930934,66.28505232663227
19,136,17.54738591637907,13.288135430525891,-14.089489055087338,66.14889659515684
20,136,15.24941303474653,12.76499337251516,-19.789956786510725,56.10039239044168
21,136,16.18546110600026,10.456660901006085,-14.74458745334596,59.735558176757564
22,136,17.780655273429858,10.043226993205133,-14.748043636050447,51.40987071150252
23,136,19.25382163402583,10.223348314758367,-6.8877254401391665,69.63077863373992
24,136,18.48178391625388,8.855134615232373,-6.076290445028562,40.02666541409604
25,136,19.08390099376056,11.435926169044835,-7.115115710185371,62.617412059243776
26,136,17.182653819710136,10.953323630268494,-9.783578138292427,51.42406446179147
27,136,17.906219281119462,11.93650395845995,-9.623739165461977,70.16045314042604
28,136,17.293950455504252,11.913407316566838,-14.468521279342035,60.24896998404589
29,136,17.0762807700135,10.743057114596722,-6.8516868868524545,51.49966033197468
