enemy,fitness,player_energy,enemy_energy,gain
1,21.210039829102747,0,70.0,-70.0
2,39.48657125383502,0,50.0,-50.0
3,85.1636304097963,14,0,14
4,86.22668156671965,28.600000000000257,0,28.600000000000257
5,89.37531660910582,55.00000000000032,0,55.00000000000032
6,3.296217525343799,0,90.0,-90.0
7,13.88912613582669,0,80.0,-80.0
8,91.06254710353532,65.80000000000032,0,65.80000000000032
