Generation,Best Fitness,Mean Fitness,Standard Deviation
0,37.52101024970432,-3.311215753002675,7.955451870970524
1,46.4011174258507,-1.7556720542599178,9.080737726842294
2,32.89852654229355,-2.527249602206817,8.61045074162895
3,30.872296158543282,-1.8474544937113204,8.201522523796717
4,32.813125451006854,-2.7236508635690004,8.108721766318746
5,32.864055414331794,-2.328964133853429,8.61313001161641
6,32.77685023263335,-2.100097825581315,9.099324004261486
7,32.90604095633508,-1.3077522138501814,10.446506419470602
8,34.97176081195789,-1.852351770370569,9.431919677533996
9,32.89852654229355,-3.2464562744442738,7.868596889642331
10,32.68878321338894,-3.0965900112708233,8.065938629869992
11,37.115370453169305,-2.6936443703459005,8.925822302932637
12,70.27846222446975,-2.9186904954784096,9.867124965013495
13,32.80553179870273,-3.5156643009306574,7.198996326556627
14,31.017385341280402,-3.7411106434457,7.050849791669109
15,61.5820977393015,-2.500597713949581,10.426349534534328
16,32.89852654229355,-3.733184902705552,6.898227848267166
17,32.84903936215958,-4.072798855781911,6.294873520238236
18,32.84325326175016,-3.1282884433139952,8.133765303729845
19,34.01670145612919,-3.0812864621082756,8.37742354652476
20,62.414635956347624,-2.7401474841921134,9.213117572678533
21,43.68696370311063,-2.0599156477601097,10.974800432715561
22,56.97653939773997,-0.5934284403822838,13.228966424889634
23,56.445894844170226,0.675504871468053,14.55444099929854
24,46.12879894561535,-1.395879838665831,10.670794588957282
25,37.40647132656558,-2.699121653549597,8.124317667964245
26,62.19899764293472,0.08690247210497104,13.166112674830572
27,37.20338166113183,1.2826327080604774,12.694513733023093
28,56.707257464313656,0.34608782581877634,12.90418687298362
29,45.86229964441704,-1.8008304090310328,10.751233626979205
