gen,nevals,avg,std,min,max
0,121,-3.2649561479265166,7.431516712494183,-9.955198155411118,34.852566439531614
1,121,-1.4614535244997,10.015299790677593,-8.988104871592547,71.85099137673288
2,121,-0.12321910756040184,9.302945430063504,-10.46276907932167,41.53191659023997
3,121,2.6206021675638027,9.637461782298894,-13.526945845963532,32.589315973841295
4,121,2.9067600854237057,9.005839295584455,-8.78543248244987,24.550240964885358
5,121,7.359563853587863,11.52913623091174,-10.29968536309239,37.46813265506523
6,121,8.96401381703057,12.719336074501307,-13.182417429325536,55.998098763169445
7,121,12.226666362108265,11.57602345943402,-7.9419198587407465,51.293348142343426
8,121,15.021577763301515,10.766350239014278,-8.847451516722034,51.36924268300825
9,121,15.724008769260557,9.1601660885482,-10.386448176707226,37.10157270404598
10,121,18.086219869413522,9.35880139156566,-6.961939342409975,61.508321190206615
11,121,17.436180954992828,10.68160096835148,-19.18245133504994,56.06642096059425
12,121,17.664273219662114,10.61349380368483,-7.9419198587407465,61.89662673177992
13,121,17.461754143654613,9.348860555142803,-8.833244249602245,59.75732339497984
14,121,18.226769079876956,12.047380940393717,-14.374753467676026,65.85191319961869
15,121,18.643654275629366,9.667751736599978,-9.478682095347402,59.76710692824774
16,121,18.093108756297596,10.532521307030855,-8.87445942917861,59.963429583329045
17,121,16.82727412429385,10.90107701621649,-7.219822882252883,59.76764340762655
18,121,16.241839513412657,14.376589251989039,-11.596375778920876,63.63752332884702
19,121,18.547649250907007,11.291357652452724,-9.38810837180526,56.07338698372048
20,121,18.33509712601889,13.660241103885816,-14.252413780788569,61.6652163935654
21,121,19.14715367120583,14.046068601674433,-9.624041843767152,61.683478635687834
22,121,17.58059664432292,15.45495030376414,-12.154968420427599,59.78355947264703
23,121,17.361794877417847,15.607068750793061,-14.490913867824599,59.891907525276864
24,121,20.020599050311443,15.020634535378374,-14.701135040851138,66.11164905348824
25,121,21.479895343731133,16.066184030081203,-14.544348711601653,59.767911947104736
26,121,18.908202194008243,15.655297582962927,-14.2627414519743,61.582261177619564
27,121,23.36739080754386,15.617581578851533,-10.094819991433738,66.73143964850098
28,121,20.625913370160227,15.760581039226915,-10.066571955336727,59.7405713624657
29,121,22.266474042501006,17.450966395463055,-14.636326287039171,67.06588288879699
