gen,nevals,avg,std,min,max
0,117,-2.9661420653868036,7.902877635663782,-8.504346856276364,26.88263564116644
1,117,-0.8032308859706427,9.9853494265308,-19.783663441026178,62.65283747945269
2,117,2.393416581987668,9.365777561159932,-13.10794762013398,30.437202057000253
3,117,6.038921216841916,12.469679068687677,-14.3108568878176,45.89695540496517
4,117,9.560184624229716,13.43556602382046,-14.46568867189717,59.76710692824774
5,117,12.459002005500434,10.664295971510185,-13.818529042811033,39.392152621423314
6,117,15.140235355033209,12.393778729951062,-14.815313154253015,61.55143091060139
7,117,13.636093135880476,12.488857551083841,-9.0003034872191,62.33032079670623
8,117,15.790564509235203,11.410043737097313,-9.17405678790882,61.65771002960642
9,117,15.536662719310588,10.819853942341553,-9.363076072299904,41.04216640707074
10,117,16.239092006601417,11.453846560551591,-9.874850714102337,62.722137624147315
11,117,17.089192977127603,13.008792696765727,-7.8138983293543856,76.58646992669662
12,117,15.096335136379954,13.45655819901061,-14.327765449440417,55.8572657673895
13,117,15.430181624640634,12.150627144555305,-14.776788444752828,43.33708655286719
14,117,11.157213294741847,11.163988550888051,-14.619217301031728,28.036080660616076
15,117,15.89873491526178,12.828121136441597,-8.19772473304679,66.7402180062036
16,117,16.011550169317395,12.819853165944187,-19.36727230504135,56.01641362044626
17,117,16.54246504813974,12.4176967677688,-9.857030391009694,56.03722683592067
18,117,16.984185682066823,10.765545540486494,-7.9419198587407465,51.432412424982324
19,117,17.46642962375715,13.065178973203999,-10.236211313944445,60.284482941398615
20,117,17.78630102200275,13.384563270684788,-9.725816502765447,59.965701048058875
21,117,18.83889385319451,11.683448445838552,-6.459745707007751,69.96990608723097
22,117,16.305759732400457,12.980226302264303,-6.864322317657212,57.03919462548129
23,117,17.159848298143057,10.63554516636537,-14.330248488760397,41.01338961880567
24,117,17.415883585053624,13.726423980758389,-18.978470518686017,56.37357445849597
25,117,15.97435460882624,13.855736867431895,-6.597276535956096,60.00854889370729
26,117,16.61578286439634,10.997147745952274,-9.879868811084684,39.53633059302352
27,117,18.643699334361866,12.631214097895146,-9.596452316493426,45.90978731758538
28,117,19.34917551562133,11.619450665461375,-9.516201499293736,51.42351213987247
29,117,18.619552470613435,12.183886275459166,-7.451479762210662,56.3055445281794
