gen,nevals,avg,std,min,max
0,187,-4.93149335282794,5.020952904759481,-19.143412451583117,23.499691651032073
1,187,-3.9632252670824024,6.1109822520459,-16.87102998729643,30.582577947256937
2,187,-2.550189512303419,7.437600513307226,-18.22660628418423,26.35702734932014
3,187,-1.9253246341058516,8.196517879235776,-12.970035090371644,28.152555600664897
4,187,-0.5750886715418803,8.299327265152712,-19.214359481149014,29.297988783989286
5,187,2.3865406061343832,9.56176508304096,-13.182902240208385,34.85440517978809
6,187,2.707814390136695,9.401012393360253,-12.07466673324646,33.92233167824904
7,187,4.768634588771018,10.050530687012557,-15.158222162174777,40.84031319188058
8,187,6.077913063340993,10.623477182794728,-16.159395953345282,43.83275564235224
9,187,7.902551169847445,10.39379810229199,-10.19687600685258,41.537597624997204
10,187,8.92104851289778,10.589931403684329,-10.923290190324305,40.812668796359304
11,187,9.48485488128346,10.191499716404449,-11.406368831021751,34.74359466225135
12,187,9.572509632730995,10.419477351830679,-23.409848287898708,43.01465007876722
13,187,9.474151386860445,9.787741498849778,-13.04133196631975,40.834184527628594
14,187,10.553489193785861,9.73752645358678,-15.666962737359015,34.83473735329112
15,187,11.285827611882429,9.399440303369003,-14.72979185922377,35.03897443148297
16,187,11.351704638116804,9.451908505810161,-13.769118056463563,43.0103431932132
17,187,12.310913066279037,9.10839163058575,-16.795116035365627,42.96244311352271
18,187,12.42141879930161,9.519606002874642,-13.67766117382553,38.15040899607473
19,187,12.976666941544526,8.836936371034318,-9.644681528793248,43.02182485405871
20,187,13.480320225482595,8.156300410251873,-8.428942829532344,32.38699651850124
21,187,12.855801946261806,9.285300096137838,-9.839835944215437,38.24226240966813
22,187,13.317396308351789,9.80161722609249,-14.630245800895471,39.47341525244926
23,187,13.77880523798697,9.037155745159444,-7.854513592037566,41.83798989444425
24,187,13.940809775358856,10.121027426500488,-11.939460605018247,44.72769901791206
25,187,13.80680471654028,9.085719781227569,-7.4243399385231275,40.837455308429355
26,187,14.366434824409218,8.861476116184887,-9.398227221828726,44.179485309095526
27,187,13.378757547511372,8.567653410831348,-10.725400644935537,38.320682196609226
28,187,15.132307348019866,9.070053909114673,-7.697155720427818,38.265463655139584
29,187,15.347677949452889,9.448335009413396,-19.997938092265926,38.23246408906374
