gen,nevals,avg,std,min,max
0,71,6.4423045139027915,25.484614102121274,-6.555356891810665,87.35788162462296
1,148,23.266321052070424,36.892668237832,-6.192362489474872,90.58964054567596
2,146,51.11468083503754,36.5921466887427,-5.375278407684165,90.07968822339262
3,135,64.55638386309049,30.907572308255364,3.081106145726854,89.93520676758504
4,149,75.904600195862,24.26478895451494,3.662461920298682,89.6224637949176
5,147,78.30962646294279,24.498902693896188,-5.44673737166631,89.6224637949176
6,148,82.21941088589654,19.745928317150565,3.662461920298682,90.57105438238983
7,147,81.73229307516968,20.672098883868,-5.493061443340548,92.52322890233344
8,151,85.87313074542044,10.323201881333183,20.952627820953722,90.7335612249423
9,140,84.94233388536456,14.1429950777884,-5.384495062789089,89.7187364548416
10,145,85.12403569356472,14.191972674396563,-5.41610040220442,89.7187364548416
11,145,87.19235910597506,7.96870900733827,21.09191706183107,89.46322890233346
12,150,87.04736795337804,9.334887793858723,12.59732261812772,90.24322890233346
13,145,88.03341990566196,5.950027892305848,38.82621389609806,89.7226657329815
14,147,88.866971764383,0.8548190515386392,87.05788162462296,89.7226657329815
15,150,89.15872276027602,0.931122051340657,87.05788162462296,91.89679627126203
16,152,89.1989866620485,0.8797339892376171,87.05788162462296,91.89679627126203
17,138,88.1253685514081,9.131989564712736,12.159358342626602,91.89679627126203
18,136,88.2161137806664,9.1690546099738,11.824132729894238,90.78322890233346
19,149,88.68586805994035,4.933480335694196,48.04935744741228,90.49504998251862
20,135,88.59458865276096,4.961062528067527,47.81791509328337,90.61936107665805
21,145,88.80761865811102,2.8707791802874563,66.14206684551654,90.60322890233346
22,145,88.7325079648568,4.938048935172893,48.05982874727957,90.91968822339261
23,144,88.11460719844219,9.066265912760262,12.592828228539881,90.31936107665805
24,143,89.47758604748616,0.6731322912505429,87.08234767677737,90.61873645484161
25,147,86.01118210697379,16.243326477833513,-5.3612921657094255,90.61873645484161
26,145,89.50878947438665,0.6752823593688764,87.01935834262663,90.20661051127252
27,143,88.02636629411244,5.47763312656748,66.05196501081936,90.81167900420625
28,146,86.39057725212592,11.734634995422123,21.10835578817423,90.81167900420625
29,140,86.4870733215797,12.534822275405189,12.59732261812772,90.4426657329815
30,134,88.92490701780356,2.9309424997238476,65.77940982990026,90.89302464366021
