gen,nevals,avg,std,min,max
0,175,-5.109054929574293,4.824740145847904,-15.570363704304572,30.461719691473142
1,175,-3.847680145996225,5.018043181598862,-13.854066997146111,14.886026471296667
2,175,-2.224404364783318,7.044388945692007,-12.272699982242942,27.04571850297925
3,175,-2.3264410291484507,6.566936127315368,-13.431122729623212,26.934446283171006
4,175,-0.8111702328937352,7.372003559655369,-16.126535890851187,26.53492233029218
5,175,2.4985477376422005,9.001422194914266,-18.6351966696718,36.40574135565602
6,175,4.159978009993782,9.301591681658296,-13.264418068185105,33.76424471779089
7,175,5.382561021401485,9.579233780978699,-14.694856893875285,39.152024695382586
8,175,6.705923180962081,9.242040645334258,-14.679689717120311,35.08257391035494
9,175,7.775802869620625,9.445122297790865,-12.295776106636396,29.4421187786996
10,175,7.631469162811566,9.980926566695599,-12.618521516501,35.097460540946614
11,175,8.45281182020884,8.276138136644084,-12.252943906108344,34.469497123518906
12,175,9.580523108735315,8.494269645709677,-17.4048456032508,39.068571185198365
13,175,11.242470152924284,8.08676828521644,-7.797779735200791,40.8498067717598
14,175,9.820787129512698,8.28339161784654,-9.107540114754453,32.65910470918166
15,175,9.97371703637378,7.480803721393284,-10.251801870359765,38.264819589733946
16,175,11.552102782352712,8.800200798405493,-14.453474341498122,38.30174249016745
17,175,11.567744117153076,8.459563071856147,-12.809272482948515,38.93560378971934
18,175,11.673385766439257,7.331039603003275,-9.670443805929894,35.21372579956285
19,175,11.857668443251008,8.63052045880175,-18.03197215961096,38.28012150737422
20,175,12.555965438711757,8.360068334101523,-8.408354960546509,38.30759214638016
21,175,10.921778323274898,8.961391217755882,-9.734606209018601,41.47730894650648
22,175,12.619426352408357,8.399810884606895,-12.359442276811562,36.961940678556665
23,175,13.131603021708875,9.288934366389702,-13.780418405372398,38.8717281101665
24,175,14.560388611046239,8.99169958417929,-16.0326886621635,43.81513198156697
25,175,14.61676383741914,9.087253232774138,-10.61868623238003,44.10226542576069
26,175,13.331517647809243,9.80084252338779,-15.805388473552966,38.25703100090534
27,175,13.24399466378224,10.171136930894361,-12.51052297277252,42.938434620956194
28,175,12.447774923152524,9.46357489569285,-11.89025190370036,40.0571976667313
29,175,13.165913857313232,9.891316262022315,-11.675786056508286,42.97957690460002
