Generation,Best Fitness,Mean Fitness,Standard Deviation
0,37.65390110558775,-3.56445236570878,8.805750108529589
1,34.23252724826859,-2.54287674367171,8.750022262289525
2,37.65390110558775,-1.194005845923574,10.784334973430793
3,39.59375304870352,0.5557174642952799,11.725740613172821
4,62.66179905404078,1.8738049036503384,13.446577847469209
5,49.90484429895126,1.6162797828937387,12.802488691607557
6,62.414635956347624,2.875611567104846,15.235630981164869
7,66.17846115273885,2.39993726008974,14.629174424122436
8,53.25086584310407,3.368204995364458,14.128206896012664
9,69.65397557968433,4.57828284835229,16.373952645125634
10,66.17846115273885,3.9999169489210598,15.156310196032289
11,62.64974995546321,6.293025107718961,16.754779795372276
12,65.96319599898072,3.7403332179278084,14.59396511319146
13,69.5924698116653,4.9948542857891125,16.82847771576811
14,59.56451939899494,5.864835841905368,16.33263336725074
15,59.63964873339092,5.647666413137894,15.870499708292964
16,47.96263907908145,5.231292967975464,14.121614546363574
17,61.45763993663571,6.1715788619952425,16.02666591627033
18,62.143888626322905,7.606970171814873,16.370318509842804
19,69.04690543642724,6.128771205978849,15.913117700206545
20,62.644472167144116,7.804131287975165,17.26970113798258
21,56.657627687123764,8.012856707834718,15.919351696390576
22,56.657627687123764,8.858145168892923,16.444149271678544
23,70.58388005449305,7.867830760777503,17.23397387311288
24,62.01923847484182,7.075746290191997,16.18497967198455
25,70.58388005449305,8.141508581632756,16.591001015255102
26,63.05394164829508,10.474485155777053,16.204266904707293
27,63.06299594597166,11.057957843688966,16.869066784876253
28,69.61694201147317,10.500089199964664,18.00838614011918
29,57.962276204659915,8.184918835166405,15.818959711846777
