Generation,Best Fitness,Mean Fitness,Standard Deviation
0,30.931324853731923,-2.4723748633961504,8.14708304605158
1,34.707479288436886,-2.9144044195591565,9.318885235260153
2,39.66868245019236,-2.615989309540658,8.780270130601622
3,32.697004335298885,-2.9582956057140617,8.527886308703748
4,39.71007845120944,-2.3724708536226484,9.173520627737545
5,32.80553179870273,-2.636966539272093,8.605108605500131
6,48.819821919293275,-3.6578308221462303,8.141268086184425
7,43.58960201757316,-2.4554500473291285,8.874031040808061
8,49.719558740709914,-2.473011311396352,9.55466139483659
9,41.41700778890503,-3.3998937379000673,8.259993233492184
10,49.763903706504124,-2.5770116865074755,9.472633259267237
11,32.85822520254287,-2.357561937555514,8.715401914413746
12,29.461646110969955,-2.285587192749435,7.970957312860575
13,61.52407603923659,-1.3715905046938393,11.563238361507352
14,45.949738367311745,-1.360627666916644,10.826011716369772
15,62.553975699771684,-0.483656506832787,11.851662137539101
16,46.34206247408825,-0.971056489967789,10.755500579965135
17,51.63031689209292,-0.1678668105099365,11.535207103061946
18,53.367091495072096,-1.742640155928812,10.345960180228838
19,62.44286851792948,-0.6383489368800528,12.943426170907523
20,51.46771724530926,-2.3344169893101627,9.862324796424762
21,56.35309064891986,-1.7938908038298702,10.344639426538064
22,44.094097060756994,-2.8453615126444736,8.665792205851716
23,40.16979289838891,-3.4094361140432157,7.351361203831614
24,32.84325326175016,-2.7475168283554594,7.789178149550234
25,62.143888626322905,-1.862186140329837,10.470104636651161
26,37.334166891430606,-1.8682250753789595,9.360245064143095
27,43.478908343106696,-1.1473331008924703,10.706371498434212
28,66.45914739966338,-1.1084391489879488,11.75776786085948
29,43.79791757185535,-0.256050002718632,12.028398905701536
