enemy,fitness,player_energy,enemy_energy,gain
1,39.013547994715566,0,50.0,398
2,39.20698639161586,0,50.0,328
3,74.75002475774052,0,10.0,518
4,87.77952363400023,48.400000000000304,0,1165
5,91.91982739098296,76.00000000000023,0,293
6,3.540414485855841,0,90.0,235
7,-2.70805020110221,0,100,15
8,30.065105804380412,0,60.0,378
