gen,nevals,avg,std,min,max
0,100,-4.256636694347605,6.096998297498071,-6.448889394146858,39.013547994715566
1,147,-2.9067010291305384,9.354087269731917,-5.802118375377063,39.013547994715566
2,149,5.437121896559603,17.144474756916036,-5.752572638825633,47.97413402617469
3,143,18.144888434728596,19.63710335403667,-5.752572638825633,57.222347676777346
4,145,31.147470973530435,15.872325629161677,-5.730099782973574,57.222347676777346
5,144,40.07526372879547,12.57398036649546,-5.771441123130016,75.26990021702643
6,145,42.61046553708502,11.878231555091082,-5.802118375377063,94.85250552318655
7,143,44.17729758129843,13.716565639180399,-5.820082930352362,94.85250552318655
8,139,47.792515744769,12.332968268349598,30.269900217026425,94.85250552318655
9,136,48.46214547916854,9.08409623722844,21.269900217026425,94.85250552318655
10,131,48.38010308256284,11.35456861807905,-5.986452005284438,94.78506424239102
11,146,47.93208977301288,10.158123177178604,3.8070431491097896,75.26990021702643
12,133,48.932086248950014,15.082176953128354,-5.062595033026967,89.57991706964765
13,137,52.823734128169626,13.28663387711415,21.269900217026425,94.78506424239102
14,150,56.11295512177646,17.292984584970977,12.732141840936672,94.85250552318655
15,146,61.887779263341045,18.004973511319104,38.5276537054991,94.85250552318655
16,143,62.3184899965629,18.94387187385741,39.013547994715566,94.87603602059674
17,140,57.204673714362386,18.131910310049953,-5.8971538676367405,94.87603602059674
18,134,59.616378879638134,17.97105130026755,21.269900217026425,94.87603602059674
19,128,62.17442543384591,20.235617571050806,-5.736572297479192,94.9001335721758
20,135,64.93078605925275,18.67978025835825,38.976552407038966,94.9001335721758
21,158,65.90767500240868,22.31117677745584,12.231679004206228,94.9001335721758
22,131,64.84358214392554,22.522118265674013,3.0135479947155623,94.9001335721758
23,145,69.68233990533528,21.790443280415154,3.250607014091747,94.9001335721758
24,138,70.84014276597084,22.479264617400723,21.269900217026425,94.9001335721758
25,130,72.83799381828322,24.784965665887693,-5.783825182329737,94.9001335721758
26,133,81.49543637528183,19.649093530540064,12.260207087820767,94.9001335721758
27,142,78.00535746406823,24.495798747173538,-5.986452005284438,94.9001335721758
28,145,82.70602742665098,22.577110728136052,-5.730099782973574,94.9001335721758
29,139,89.27881682887741,14.81490527888472,12.013547994715562,94.9001335721758
30,138,86.90977243833854,19.256605700067094,12.013547994715562,94.9001335721758
