generation,best_fitness,mean_fitness,std_fitness
1,89.24661051127251,5.6028091924956405,23.87459358310454
2,89.24661051127251,5.60280919249564,23.87459358310454
3,89.24661051127251,5.60280919249564,23.87459358310454
4,89.24661051127251,5.60280919249564,23.87459358310454
5,89.24661051127251,5.60280919249564,23.87459358310454
6,89.24661051127251,5.60280919249564,23.87459358310454
7,89.24661051127251,5.60280919249564,23.87459358310454
8,89.24661051127251,5.60280919249564,23.87459358310454
9,89.24661051127251,5.60280919249564,23.87459358310454
10,89.24661051127251,5.60280919249564,23.87459358310454
11,89.24661051127251,5.60280919249564,23.87459358310454
12,89.24661051127251,5.60280919249564,23.87459358310454
13,89.24661051127251,5.60280919249564,23.87459358310454
14,89.24661051127251,5.60280919249564,23.87459358310454
15,89.24661051127251,5.60280919249564,23.87459358310454
16,89.24661051127251,5.60280919249564,23.87459358310454
17,89.24661051127251,5.60280919249564,23.87459358310454
18,89.24661051127251,5.60280919249564,23.87459358310454
19,89.24661051127251,5.60280919249564,23.87459358310454
20,89.24661051127251,5.60280919249564,23.87459358310454
21,89.24661051127251,9.064459710088943,28.460461806626192
22,90.83297711225777,25.60481077668399,37.95545546857058
23,89.24661051127251,5.60280919249564,23.87459358310454
24,89.24661051127251,5.60280919249564,23.87459358310454
25,89.24661051127251,10.355761813845277,29.32370037291193
26,90.20661051127252,29.198287973289215,39.45207127861067
27,89.24661051127251,5.60280919249564,23.87459358310454
28,89.24661051127251,5.60280919249564,23.87459358310454
29,89.24661051127251,10.355761813845277,29.32370037291193
30,90.20661051127252,29.198287973289215,39.45207127861067
