Generation,Best Fitness,Mean Fitness,Standard Deviation
0,34.079096170415795,-1.605955309867447,10.29688600082137
1,66.4313568697577,-2.39451654382942,10.255126231357261
2,66.29666953231849,-2.6205283906232837,9.596006210455238
3,37.49728109620669,-2.634501716046164,9.072184180423982
4,66.20305665652018,-2.7464021398510474,9.437718090765305
5,66.06492937548424,-2.439537956719546,9.874662499745575
6,34.303888028594834,-2.550467268994932,9.079995326183871
7,66.53412574885058,-2.096099417561992,10.699397458464036
8,41.44745324611956,-2.6997444529113905,8.959345710774901
9,38.51551056825605,-2.651706732913937,9.096135546690652
10,53.250090203725996,-2.1295241611452806,10.132282576136312
11,66.53412574885058,-2.6548004913987797,9.656465517620237
12,39.44567314141293,-2.633756603154729,8.932001392821492
13,48.40096119663838,-2.397496314594493,9.785251093395447
14,66.20305665652018,-2.1619284452476544,10.712763890155404
15,59.924615398064596,-2.5868124605543326,9.727491073615152
16,41.142064074093305,-2.7448408985964505,9.099106136179596
17,53.42889346910553,-2.5142473902994547,9.4835331479317
18,39.51814883116922,-2.9020526904184676,8.670953354846377
19,45.94210651931958,-2.715906509427946,9.044441400454481
20,59.924615398064596,-2.425170054361794,9.798117446100896
21,47.49267475604246,-2.237899795097995,9.881990449040657
22,34.416555448734464,-2.6906110205425406,8.56242374855179
23,53.37183532372043,-2.2664716036992725,9.509273432876123
24,53.15192113936386,-2.6067558302174714,9.043084622940196
25,59.65507669198274,-2.297130880007997,10.152978696202245
26,39.53759213565647,-2.47527067209286,9.068887491812132
27,66.20305665652018,-2.5297925858451578,9.838427756266956
28,41.225960847503316,-2.4470375756424296,9.388822648041197
29,66.40364222513006,-1.9036860293319473,10.956668895935666
