enemy,fitness,player_energy,enemy_energy,gain
1,4.25506787163675,0,90.0,-90.0
2,86.45482255552044,20,0,20
3,11.884107874516966,0,80.0,-80.0
4,3.2764148980476193,0,90.0,-90.0
5,11.259480640393777,0,80.0,-80.0
6,48.443171938300466,0,40.0,-40.0
7,66.25699681219052,0,20.0,-20.0
8,87.07935834262663,29.20000000000026,0,29.20000000000026
