gen,nevals,avg,std,min,max
0,117,-5.41311124315941,4.342374333808016,-19.391749949514775,15.9715157755627
1,117,-4.062388238698917,5.170458588521128,-18.37895657916878,18.165172248640992
2,117,-2.882114191279579,6.240833604066571,-18.058712343750802,23.418123740403917
3,117,-0.40311116258784224,6.844351116675274,-16.021320370254635,19.8928710993612
4,117,0.615839628254665,7.828948033515666,-18.114024378928583,27.010689420560624
5,117,2.19297006309869,8.659040324957124,-16.060011103461353,34.676469790022196
6,117,5.462297748835694,10.316308633957634,-16.30462184002115,35.17257523760138
7,117,7.83142999166827,9.504964852955853,-10.842010267698992,31.677103177139383
8,117,9.367785569532934,8.675018569909959,-12.663261681955806,33.52322838083002
9,117,9.00897177684103,9.527138562926385,-12.954877132065047,36.93430148867186
10,117,9.732854600024803,9.333544931578924,-13.857810085478603,43.00582294430005
11,117,11.017037908149248,8.94352294808711,-8.794742989849006,41.516519932578184
12,117,11.800296323262405,8.974575132999064,-10.501275370094888,38.28873882781472
13,117,11.490711815430847,7.761082130128848,-7.350126620142849,31.73442407841597
14,117,13.736513277540952,9.768461040304098,-7.953997718732722,42.984428257949645
15,117,12.341414964500963,9.379702150224519,-8.781511946912971,43.83277423652939
16,117,14.263341803892043,9.3911401965541,-7.3562984690429545,42.942020545826225
17,117,13.68546637579742,8.507460098929085,-7.846151027858262,41.55222357779404
18,117,15.866775535300714,9.778453305307002,-11.837432259453514,44.70680097532525
19,117,16.127973750579805,9.386497682091,-7.485611078969455,41.47416562366591
20,117,17.710598087366602,9.582284360806295,-5.988764943971567,39.51852849148868
21,117,17.313186459352504,9.694485432518144,-12.493281597307316,45.78861299385562
22,117,18.17087950020911,10.079611195731314,-16.45901551496329,44.028400674109115
23,117,17.947989762294032,10.336282485727224,-13.00084269346762,44.08741163533584
24,117,18.13665613192133,9.96702695570395,-11.321082959572998,43.74694427923551
25,117,20.170491145729635,9.78169941655387,-12.274849618492258,44.08431023763778
26,117,19.36527670913649,9.839791272094546,-7.696955094090459,40.800905530484386
27,117,18.944958398482072,9.891898858365758,-8.711695353699735,44.63816792721113
28,117,20.624096075458617,9.869464661035174,-13.93098370406986,42.991494580871475
29,117,19.202248155947498,11.823809036894556,-20.203196520494956,42.894549641364144
