enemy,fitness,player_energy,enemy_energy,gain
1,21.269900217026425,0,70.0,308
2,91.49061166337202,70,0,247
3,30.179917069647637,0,60.0,337
4,21.486571253835017,0,70.0,248
5,90.86901301948917,64.60000000000034,0,268
6,75.4165036912183,0,10.0,266
7,75.1593583426266,0,10.0,344
8,84.4062138960981,5.800000000000233,0,480
