generation,best_fitness,mean_fitness,std_fitness
1,88.18755198344951,4.52395484483435,22.406414645112466
2,88.18755198344951,4.329569523032298,22.357921328488104
3,88.18755198344951,4.329569523032298,22.357921328488104
4,88.18755198344951,4.329569523032298,22.357921328488104
5,88.18755198344951,4.329569523032298,22.357921328488104
6,88.18755198344951,4.329569523032298,22.357921328488104
7,88.18755198344951,4.329569523032298,22.357921328488104
8,88.18755198344951,4.329569523032298,22.357921328488104
9,88.18755198344951,4.329569523032298,22.357921328488104
10,88.18755198344951,4.329569523032298,22.357921328488104
11,88.18755198344951,4.329569523032298,22.357921328488104
12,88.18755198344951,4.329569523032298,22.357921328488104
13,88.18755198344951,4.329569523032298,22.357921328488104
14,88.18755198344951,4.329569523032298,22.357921328488104
15,88.18755198344951,4.329569523032298,22.357921328488104
16,88.18755198344951,4.329569523032298,22.357921328488104
17,88.18755198344951,4.329569523032298,22.357921328488104
18,88.18755198344951,4.329569523032298,22.357921328488104
19,88.18755198344951,4.329569523032298,22.357921328488104
20,88.18755198344951,4.329569523032298,22.357921328488104
21,88.18755198344951,4.329569523032298,22.357921328488104
22,88.18755198344951,4.329569523032298,22.357921328488104
23,88.18755198344951,4.329569523032298,22.357921328488104
24,88.18755198344951,4.329569523032298,22.357921328488104
25,88.18755198344951,4.329569523032298,22.357921328488104
26,88.18755198344951,4.329569523032298,22.357921328488104
27,88.18755198344951,4.329569523032298,22.357921328488104
28,88.18755198344951,4.329569523032298,22.357921328488104
29,88.18755198344951,4.329569523032298,22.357921328488104
