best_fitness,mean_fitness,std_fitness
87.16586946817496,18.677055118535744,29.40727703693098
89.31955642660935,22.72206427422204,28.7044099085287
90.80559716573518,34.558448708049376,32.408707769782545
90.80559716573518,47.80062426010229,33.701291722893615
90.34167537496052,54.40217651696333,33.099627357750975
89.51297711225777,55.52541799298638,34.072338469030385
91.69968822339261,72.30010418526189,28.273278875233068
90.73067522005317,78.84697437047478,23.0318859109783
90.73067522005317,80.72414924387004,21.189363549692
90.73067522005317,79.73544846961214,22.213559596413752
91.45067522005317,85.89355923860273,12.613350229804443
90.61067522005318,88.02893609098544,4.217820430752407
90.21667761151176,88.69565631671745,1.3106358267553735
90.67067522005318,89.32776718686176,1.0595236962329497
90.97968822339261,89.90325100288977,0.5641979077209277
90.61067522005318,90.1074554621989,0.3692966773689684
90.61067522005318,90.10551025448855,0.5066755966281242
90.61067522005318,90.16887913243917,0.2375124610461315
91.15356122494231,90.2115183524231,0.2371528366514167
91.3935612249423,90.28754544412487,0.23470704806683304
90.61067522005318,90.21830526115569,0.18754952864318286
90.85356122494231,90.25101677628405,0.14229444842994327
90.85356122494231,90.00074655659456,3.3178580228934424
90.85356122494231,90.37247202148399,0.22073525440250896
90.85356122494231,90.4219796235265,0.23925249313092486
91.27968822339261,90.24140321159847,2.4948615225705053
92.50226421822038,90.57787151259306,0.6612020332799025
92.50226421822038,90.59859143434953,0.4371274251978282
91.21356122494231,90.62446200463584,0.32608733177608795
91.21968822339261,90.65254656444029,0.3261651488940443
