Generation,Best Fitness,Mean Fitness,Standard Deviation
0,31.07500498024999,-3.8753708862217184,8.268939538471635
1,35.56724698095701,-3.182654110112023,7.7396028835485735
2,32.755089650079746,-3.8329525456742655,6.786124426946964
3,42.56229904232752,-3.4217663703770476,8.01963937277094
4,33.300733033007226,-3.695405828886227,7.15543678424786
5,48.47754669232755,-3.0896212799333793,8.010111839265772
6,39.466376899346336,-2.6239182841478583,8.620697466952242
7,41.7809500711045,-2.568364915684268,9.071434113531156
8,30.751622496662023,-2.5076328193787356,8.38310143155042
9,63.022252587267005,-1.5623358495557298,10.319555625532852
10,56.54976356816498,-3.073911282380023,9.053445486411444
11,62.42835402626544,-2.2591223200055226,10.050872374573435
12,39.550751353763374,-2.4340206001610563,9.232447951676164
13,56.551211159572205,-3.2236546160327064,9.040134711923818
14,41.57984676578883,-2.283079390635903,9.261701798863289
15,32.935142508617474,-2.6141294674435898,8.395119736764073
16,62.81450395373331,-2.5145118194451963,9.912145983264546
17,30.61232253083035,-3.637797253055236,7.108849548294043
18,32.84325326175016,-3.3407395073001824,7.97349894758619
19,45.73535692605507,-3.4282384955533125,8.89832122696679
20,34.51322670294108,-3.5699886893130675,7.797715957169947
21,41.53570160826263,-3.3441434076284233,8.198743416409929
22,56.657627687123764,-2.5495504115854195,10.088248536431708
23,66.12327252857476,-3.8977831397515614,8.820218268667933
24,37.06765194455619,-3.843460063700948,7.832120887024163
25,51.500988404563856,-3.654210886487333,8.320826757572501
26,45.97159532661884,-2.5687462925822624,8.783435628583929
27,56.28445382995628,-2.193273338738053,9.582275908291889
28,32.74487602819588,-2.8051513135066233,7.774024690015152
29,36.76172609919407,-2.8069860329612495,8.29048601032776
