Generation,Best Fitness,Mean Fitness,Standard Deviation
0,34.25994648562619,-2.1526148016482503,9.37453097467832
1,41.421438917482114,-2.7853834029260076,8.889164022602106
2,34.4101522616491,-2.374839409600704,8.695261421657444
3,44.01984046510883,-0.45890043771277805,11.488415456529912
4,56.445894844170226,-0.16607970849981854,12.354942980983903
5,56.445894844170226,-0.4368598932249619,11.493126486274212
6,55.78715657373422,0.2180633745188791,11.34557437927114
7,37.22180787767597,1.0874377591292883,11.382520236056926
8,39.84032581023461,1.5292566601224618,12.219622077915142
9,48.51882630349351,1.8324017401209303,12.39513738201031
10,55.78715657373422,3.2286325638236986,13.677708970683772
11,51.39581714469729,3.066562799256328,13.420975585923507
12,56.08167313514198,4.894314545192905,14.497084632980453
13,56.67797551819406,5.3173985317033505,14.459128257139422
14,77.31498484616473,4.627017722753313,14.318068399700726
15,58.63154553807698,5.827318787698844,15.189362505651005
16,37.265338772405535,5.40575644667596,13.190184676453482
17,63.07812689872882,5.573366181343123,14.164618108069014
18,77.27512143728332,5.411873168022062,15.036606166953712
19,43.56776388802133,5.3309079812275195,13.614770447809466
20,66.01137512450558,7.820506778055204,15.750174123009549
21,49.93211319532219,6.520012394154735,14.58561321894038
22,63.106661798581996,7.486321328876961,15.31239609253718
23,84.67679251069367,9.465611666569444,17.53545030850691
24,77.33301905751145,9.560143511558454,16.903180819059926
25,63.529444676553595,9.009845128338013,16.488394336236897
26,66.80972341564951,9.066408442307617,16.951542476184436
27,61.45763993663571,10.376466255486578,16.86961014790406
28,70.62065940500085,9.320148137643733,18.017535496130183
29,62.19899764293472,10.269038639357577,16.599350410028972
