Generation,Best Fitness,Mean Fitness,Standard Deviation
0,41.52243677970566,-0.038434880935982574,11.708572159080001
1,43.36939135448835,-1.9140699178032048,9.689832020723609
2,62.01923847484182,-0.830792005623003,11.172282029051795
3,32.803411137600044,-1.7162909919405243,9.455374885348137
4,39.4287621402258,-1.3535253077113605,10.16977001486146
5,34.09717685391944,-2.004206895022867,9.520201213865477
6,42.28794603464518,-3.0499399300809866,8.732643146275006
7,32.89096162440641,-2.838093063904286,8.61315015902909
8,39.546789782120314,-2.089681195997248,9.58443612049463
9,36.31653747858277,-3.364312251812762,7.8364414038545664
10,45.8888387810937,-2.207928812109909,9.87048043549311
11,69.9509400917964,-2.4111098543052703,10.501583539807955
12,50.196687070107345,-1.9158063217302481,9.113267135233976
13,62.53089389517362,-0.9227701055650211,11.834075303215382
14,37.20338166113183,-3.0644583607547027,8.647831684332374
15,34.657332613334475,-3.0443205914556595,8.022409703995006
16,34.24738905461082,-2.994623350120952,8.676450638391254
17,34.750147432377744,-3.0663341199594436,7.682270501094797
18,62.01923847484182,-2.457151238994365,10.08024056385346
19,33.500109491447674,-2.35103104636897,9.22007514612984
20,34.46928753124187,-2.3231994562184464,9.346830619786315
21,56.901719804213066,-2.8594078340253004,8.766141732968835
22,34.22863996442703,-2.1748841096958116,9.096835952266419
23,34.12014646914629,-1.9125605444650502,9.409900541341734
24,66.23489302483071,-2.7516130943109727,10.080617959607897
25,43.32869919715037,-1.883938451738146,9.91224031412026
26,43.65756900305642,-1.7284366430836828,10.449925728271992
27,43.68696370311063,-2.2464268011469515,9.663971453169221
28,60.450508067628405,-1.2165433095876155,11.210105252675342
29,70.00917846866425,-2.0673939084096298,10.781142243646242
