enemy,fitness,player_energy,enemy_energy,gain
1,57.26020708782077,0,30.0,311
2,92.73193985886488,82,0,237
3,21.179917069647637,0,70.0,337
4,21.361645330666256,0,70.0,281
5,90.41874178945531,59.20000000000033,0,245
6,57.19486503108351,0,30.0,332
7,48.47853908213776,0,40.0,250
8,74.66317426885357,0,10.0,565
