best_fitness,mean_fitness,std_fitness
92.13214184093668,16.955069910252902,34.64452282252168
92.69061166337202,11.706574230769894,30.654261613898043
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
92.69061166337202,11.706574230769894,30.65426161389804
