gen,nevals,avg,std,min,max
0,117,-3.174239733307371,7.9587336981009775,-9.536036510085648,37.545839282606764
1,117,-0.9477151055428334,8.973847179620341,-17.757849223999333,28.104544463974356
2,117,2.50201448712605,9.698785385258004,-12.597113374372183,26.73859853569942
3,117,2.2206414012346065,10.757857415370038,-9.19562294638552,45.884750998279685
4,117,5.767002612315126,11.769629565087575,-20.122091086223364,41.41195774026855
5,117,7.737138293226977,11.715239311762604,-10.241011433582422,47.074965698545654
6,117,8.63283019491752,13.461816918778885,-8.962973818948257,76.94636637098009
7,117,12.216219069256441,11.735903136767991,-12.584068564212618,56.045133691570655
8,117,13.758811594563785,12.692229553956864,-18.804207627764693,62.37821781189959
9,117,16.99886870380876,9.912963870618665,-13.778194782491514,41.2348543711458
10,117,16.775285144586586,11.28235160518059,-9.474721383463269,46.21963813269963
11,117,16.998708755292498,10.760476504226805,-9.728154744974354,51.369746132204966
12,117,15.424665002763984,11.103075528027155,-18.603321167776276,41.33414314036361
13,117,17.35017764652538,8.747112675884702,-6.459861787638189,41.502885818955505
14,117,18.162550573517702,10.806395415889432,-9.979535517119153,46.05063519796366
15,117,17.023329266774567,10.005524142939837,-19.374685441850357,45.84563982455614
16,117,17.857753633134596,9.782862139786129,-7.334825256076795,41.714156083738736
17,117,18.17622557216153,10.584757805625364,-20.234869550707568,41.338171677123626
18,117,18.206295162807493,11.436737243816259,-14.502992115722083,70.03626153754517
19,117,17.834693499324327,10.983807418720447,-14.540458518795038,47.86182360422417
20,117,18.484891658193934,11.326561795696103,-8.774172587128309,69.78151992095752
21,117,17.153036037889308,11.722767712391306,-10.108318775852403,56.016747786262414
22,117,17.01489718106905,13.665778131023245,-9.753424052684554,62.616701740954305
23,117,17.011956019089098,10.455383103716672,-18.05400772567698,41.18366093533487
24,117,16.73301460709416,11.565174614169523,-14.544088519267309,41.70861078265797
25,117,17.730374536574097,11.246015928961318,-7.1417860638037105,52.49699426386359
26,117,17.18927975391692,13.424772855064692,-9.327955015949332,69.92365138460593
27,117,16.002563695840486,12.861586764886685,-14.677135986143771,66.52123807183452
28,117,18.868783006486904,14.410386738767793,-6.960249941062578,69.37369190519
29,117,18.643305241650268,11.863387042340332,-5.809757106794323,72.21075843904775
