,number,value,datetime_start,datetime_complete,duration,params_elitism,params_generations,params_mutation_rate,params_num_hidden,params_pop_size,state
38,38,90.13356122494231,2024-09-26 20:04:54.869269,2024-09-26 20:10:45.648543,0 days 00:05:50.779274,16,21,0.28776529760365777,11,124,COMPLETE
39,39,91.14339389891516,2024-09-26 20:10:45.649301,2024-09-26 20:13:39.882320,0 days 00:02:54.233019,8,11,0.06846216636584554,7,103,COMPLETE
40,40,92.45165549623893,2024-09-26 20:13:39.883077,2024-09-26 20:20:56.644343,0 days 00:07:16.761266,11,26,0.03815224690399807,20,77,COMPLETE
41,41,90.24451856747527,2024-09-26 20:20:56.645030,2024-09-26 20:28:28.145973,0 days 00:07:31.500943,12,26,0.04286515771929025,20,74,COMPLETE
42,42,91.08188000615581,2024-09-26 20:28:28.146671,2024-09-26 20:35:51.659786,0 days 00:07:23.513115,11,28,0.03342573652480224,19,85,COMPLETE
43,43,89.25288973525116,2024-09-26 20:35:51.660497,2024-09-26 20:42:17.082122,0 days 00:06:25.421625,8,23,0.10610194636274208,17,59,COMPLETE
44,44,90.60394224923466,2024-09-26 20:42:17.083077,2024-09-26 20:50:11.768566,0 days 00:07:54.685489,14,30,0.0643818423881737,19,93,COMPLETE
45,45,90.24693855665949,2024-09-26 20:50:11.769293,2024-09-26 20:57:06.483125,0 days 00:06:54.713832,6,25,0.12427486021660297,14,68,COMPLETE
46,46,90.83262782095375,2024-09-26 20:57:06.484026,2024-09-26 21:04:13.036423,0 days 00:07:06.552397,16,27,0.05363775639026225,10,79,COMPLETE
47,47,91.60964054567597,2024-09-26 21:04:13.037209,2024-09-26 21:11:54.463694,0 days 00:07:41.426485,11,29,0.030443216606555818,13,87,COMPLETE
48,48,89.53092391510481,2024-09-26 21:11:54.464622,2024-09-26 21:19:33.024111,0 days 00:07:38.559489,19,29,0.020684053423189318,15,89,COMPLETE
49,49,90.60451856747527,2024-09-26 21:19:33.025021,2024-09-26 21:28:02.339460,0 days 00:08:29.314439,3,30,0.08063541620776114,13,96,COMPLETE
