enemy,fitness,player_energy,enemy_energy,gain
1,30.046756665712216,0,60.0,385
2,74.99118681455741,0,10.0,407
3,74.74041853593508,0,10.0,523
4,85.34645698047989,23.200000000000244,0,1068
5,91.31486503108354,71.20000000000027,0,332
6,-5.703782474656201,0,100,300
7,75.81821644970792,0,10.0,178
8,21.213102618633293,0,70.0,326
